己丑庚午戊辰戊午|土土金火土土土火
壬申庚戌癸酉壬子|水金金土水金水水
庚子戊寅甲子癸酉|金水土木木水水金
己亥丁丑丁未辛丑|土水火土火土金土
癸未丁巳己丑甲戌|水土火火土土木土
甲申辛未乙卯甲申|木金金土木木木金
戊辰丙辰癸丑辛酉|土土火土水土金金
丙寅己亥壬子辛亥|火木土水水水金水
甲午癸酉丁丑丁未|木火水金火土火土
乙酉丙戌辛未庚寅|木金火土金土金木
己酉乙亥丁丑壬寅|土金木水火土水木
壬辰庚戌癸卯壬戌|水土金土水木水土
甲戌丁卯乙未己卯|木土火木木土土木
甲子己巳丙辰戊子|木水土火火土土水
戊子乙丑乙亥戊寅|土水木土木水土木
乙酉丙戌壬申庚子|木金火土水金金水
丁卯壬子癸卯壬戌|火木水水水木水土
己酉丙子壬午戊申|土金火水水火土金
壬午癸卯丁丑壬寅|水火水木火土水木
癸卯丁巳丁丑辛丑|水木火火火土金土
乙卯乙酉癸卯戊午|木木木金水木土火
壬寅丁未癸亥癸丑|水木火土水水水土
壬子丙午癸巳壬戌|水水火火水火水土
丁卯甲辰壬辰辛丑|火木木土水土金土
癸酉丙辰癸丑己未|水金火土水土土土
丁巳己酉戊戌癸亥|火火土金土土水水
戊戌丙辰丙寅乙未|土土火土火木木土
丙子乙未癸丑甲寅|火水木土水土木木
甲辰癸酉乙酉丁亥|木土水金木金火水
庚申丙戌乙酉丁亥|金金火土木金火水
丁未甲辰壬寅辛丑|火土木土水木金土
庚午丁亥己酉戊辰|金火火水土金土土
丙寅癸巳乙未丙戌|火木水火木土火土
丁巳乙巳丙寅辛卯|火火木火火木金木
庚寅己丑癸未己未|金木土土水土土土
乙丑丙戌壬午丙午|木土火土水火火火
乙丑甲申辛巳己丑|木土木金金火土土
壬戌庚戌壬寅甲辰|水土金土水木木土
戊寅乙丑己巳壬申|土木木土土火水金
庚午壬午乙亥壬午|金火水火木水水火
甲辰庚午己未己巳|木土金火土土土火
庚寅庚辰丙午戊子|金木金土火火土水
乙卯戊寅庚寅癸未|木木土木金木水土
癸未乙丑癸酉庚申|水土木土水金金金
壬子辛亥壬辰丙午|水水金水水土火火
丁卯丙午己丑乙丑|火木火火土土木土
壬辰壬子己巳辛未|水土水水土火金土
丙午庚子甲辰乙亥|火火金水木土木水
壬辰辛亥癸酉壬子|水土金水水金水水
壬申壬寅己未己巳|水金水木土土土火
庚寅戊子壬子辛丑|金木土水水水金土
己酉丁丑己亥丁卯|土金火土土水火木
癸酉甲寅癸酉癸亥|水金木木水金水水
丙寅癸巳乙丑丁丑|火木水火木土火土
丁巳丁未甲辰乙丑|火火火土木土木土
丁卯己酉辛卯丁酉|火木土金金木火金
乙巳辛巳戊寅癸亥|木火金火土木水水
庚申戊寅庚寅丁丑|金金土木金木火土
辛丑庚子己亥壬申|金土金水土水水金
甲辰乙亥庚申己卯|木土木水金金土木
戊午丁巳癸未癸丑|土火火火水土水土
乙未乙酉戊戌辛酉|木土木金土土金金
癸亥丁巳辛亥丁酉|水水火火金水火金
己巳丙子壬寅辛亥|土火火水水木金水
甲辰丁卯乙亥乙酉|木土火木木水木金
丁未癸卯癸丑癸亥|火土水木水土水水
己亥辛未庚戌庚辰|土水金土金土金土
甲辰癸酉壬寅戊申|木土水金水木土金
乙酉庚辰壬子己酉|木金金土水水土金
丁卯己酉庚午丁丑|火木土金金火火土
己巳壬申辛丑戊子|土火水金金土土水
己巳乙亥癸酉辛酉|土火木水水金金金
庚子壬午丁卯乙巳|金水水火火木木火
丁卯庚戌辛巳己亥|火木金土金火土水
丁丑辛亥甲戌甲子|火土金水木土木水
乙酉辛巳丁丑壬寅|木金金火火土水木
甲午丙子己亥辛未|木火火水土水金土
乙丑甲申丁丑乙巳|木土木金火土木火
庚戌丙戌己亥乙亥|金土火土土水木水
乙酉壬午丁丑丙午|木金水火火土火火
癸亥丙辰甲子丙寅|水水火土木水火木
辛亥己亥丙辰己亥|金水土水火土土水
辛丑庚寅己丑丙寅|金土金木土土火木
壬子壬寅甲辰壬申|水水水木木土水金
丁卯甲辰辛亥己亥|火木木土金水土水
丙申庚寅庚辰丙戌|火金金木金土火土
辛亥辛卯癸丑丁巳|金水金木水土火火
庚午戊寅戊辰己未|金火土木土土土土
丁未戊申辛亥戊子|火土土金金水土水
壬寅乙巳己未辛未|水木木火土土金土
壬申戊申丁未癸卯|水金土金火土水木
壬寅丁未甲午乙亥|水木火土木火木水
甲辰己巳丁未辛亥|木土土火火土金水
戊午丙辰丁卯庚子|土火火土火木金水
癸丑己未丙戌己丑|水土土土火土土土
戊子庚申戊子壬子|土水金金土水水水
壬寅戊申癸巳甲寅|水木土金水火木木
壬子癸丑己巳戊辰|水水水土土火土土
己未丁卯庚寅丁亥|土土火木金木火水
丙辰庚子庚午丁亥|火土金水金火火水
戊子甲寅甲申丙寅|土水木木木金火木
庚申丁亥甲子甲戌|金金火水木水木土
庚申乙酉甲午辛未|金金木金木火金土
甲寅丁丑庚辰戊寅|木木火土金土土木
甲午己巳辛巳己亥|木火土火金火土水
乙卯丙戌戊戌庚申|木木火土土土金金
壬申庚戌戊申壬戌|水金金土土金水土
丙申丙申辛酉甲午|火金火金金金木火
戊午乙丑庚辰己卯|土火木土金土土木
庚午戊子丙辰丙申|金火土水火土火金
辛卯丁酉甲午乙丑|金木火金木火木土
辛亥壬辰丁酉辛丑|金水水土火金金土
丙辰辛卯乙丑丁丑|火土金木木土火土
丁未壬子壬辰丙午|火土水水水土火火
丁未己酉庚辰乙酉|火土土金金土木金
辛亥丙申丙午甲午|金水火金火火木火
壬戌己酉癸酉壬子|水土土金水金水水
丁巳壬寅甲寅乙丑|火火水木木木木土
丙戌甲午甲午丁卯|火土木火木火火木
丁卯壬子己亥甲子|火木水水土水木水
乙卯甲申辛未甲午|木木木金金土木火
丁丑癸丑辛酉甲午|火土水土金金木火
癸卯癸亥甲寅壬申|水木水水木木水金
辛未戊戌乙巳丙戌|金土土土木火火土
壬辰壬寅甲辰甲戌|水土水木木土木土
辛卯丙申壬辰甲辰|金木火金水土木土
庚寅己卯甲寅丙寅|金木土木木木火木
丁未戊申庚辰己卯|火土土金金土土木
甲寅丙寅戊申癸丑|木木火木土金水土
丙寅庚子丁酉丁未|火木金水火金火土
戊申己未庚子丁丑|土金土土金水火土
癸丑壬戌庚寅丙子|水土水土金木火水
壬戌壬子癸亥丙辰|水土水水水水火土
壬子丁未庚辰丙戌|水水火土金土火土
辛巳丙申甲子庚午|金火火金木水金火
丙申乙未乙巳庚辰|火金木土木火金土
甲寅庚午丙戌丁酉|木木金火火土火金
乙卯戊寅庚辰癸未|木木土木金土水土
丙戌庚寅癸巳己未|火土金木水火土土
甲戌戊辰癸酉壬戌|木土土土水金水土
丙辰戊戌乙酉丁丑|火土土土木金火土
壬寅壬子丁巳乙巳|水木水水火火木火
己卯甲戌乙酉乙酉|土木木土木金木金
辛亥甲午己丑癸酉|金水木火土土水金
辛亥辛丑丙辰己亥|金水金土火土土水
甲申己巳甲寅辛未|木金土火木木金土
甲辰甲戌壬戌丙午|木土木土水土火火
乙丑乙酉壬子戊申|木土木金水水土金
乙酉癸未辛酉丁酉|木金水土金金火金
乙巳庚辰丁丑乙巳|木火金土火土木火
丙子癸巳癸亥己未|火水水火水水土土
癸丑丁巳丁丑壬寅|水土火火火土水木
壬辰丙午己未乙丑|水土火火土土木土
乙卯丁亥辛亥己亥|木木火水金水土水
丙寅辛丑丁巳庚子|火木金土火火金水
庚寅戊寅戊申庚申|金木土木土金金金
癸卯壬戌戊申癸丑|水木水土土金水土
戊子庚申辛卯戊戌|土水金金金木土土
己丑丙寅辛巳乙未|土土火木金火木土
戊寅丁巳辛未壬辰|土木火火金土水土
乙酉癸未丙戌壬辰|木金水土火土水土
庚申乙酉戊寅戊午|金金木金土木土火
庚申丙戌乙酉丁丑|金金火土木金火土
戊申己未己未甲戌|土金土土土土木土
丙戌庚寅戊午庚申|火土金木土火金金
壬戌壬寅辛巳甲午|水土水木金火木火
壬午庚戌己卯壬申|水火金土土木水金
庚辰辛巳壬辰乙巳|金土金火水土木火
癸卯甲子乙亥辛巳|水木木水木水金火
戊申甲寅己巳丙寅|土金木木土火火木
辛巳乙未癸亥癸亥|金火木土水水水水
庚寅乙酉戊寅壬戌|金木木金土木水土
癸丑戊午庚辰丁亥|水土土火金土火水
戊辰丙辰癸巳甲寅|土土火土水火木木
庚午己丑丙寅丙申|金火土土火木火金
丁丑丙午戊寅壬子|火土火火土木水水
辛亥壬辰甲午己巳|金水水土木火土火
壬寅壬寅庚辰甲申|水木水木金土木金
庚寅丙戌庚申壬午|金木火土金金水火
癸酉庚申庚辰癸未|水金金金金土水土
癸酉己未戊戌庚申|水金土土土土金金
乙卯戊子庚寅甲申|木木土水金木木金
丙辰辛卯甲子丁卯|火土金木木水火木
壬寅辛亥辛亥丙申|水木金水金水火金
丙子壬辰戊寅丙辰|火水水土土木火土
癸丑庚申甲申戊辰|水土金金木金土土
壬辰己酉丙戌戊戌|水土土金火土土土
庚午丙戌己巳壬申|金火火土土火水金
癸卯庚申癸巳丙辰|水木金金水火火土
辛卯丙申乙巳丙子|金木火金木火火水
辛亥庚子乙丑己卯|金水金水木土土木
癸亥癸亥乙巳乙酉|水水水水木火木金
癸卯己未丙辰甲午|水木土土火土木火
己丑戊辰庚戌戊寅|土土土土金土土木
壬辰己酉辛酉丙申|水土土金金金火金
癸酉癸亥庚辰丙戌|水金水水金土火土
丁亥壬子庚午己卯|火水水水金火土木
乙丑丙戌丁酉己酉|木土火土火金土金
己丑辛未甲子壬申|土土金土木水水金
庚戌戊子壬寅甲辰|金土土水水木木土
丙寅丙申乙巳乙酉|火木火金木火木金
甲戌庚午庚戌丙子|木土金火金土火水
癸亥乙卯庚子辛巳|水水木木金水金火
戊申戊午壬寅甲辰|土金土火水木木土
甲辰丙子戊子乙卯|木土火水土水木木
癸未辛酉癸未丁巳|水土金金水土火火
辛亥乙未乙巳戊寅|金水木土木火土木
癸丑庚申壬子辛丑|水土金金水水金土
壬申壬子癸卯己未|水金水水水木土土
庚辰丁亥辛酉己丑|金土火水金金土土
戊寅壬戌丙戌癸巳|土木水土火土水火
戊申癸亥丁卯乙巳|土金水水火木木火
戊申庚申壬寅戊申|土金金金水木土金
戊戌辛酉乙巳癸未|土土金金木火水土
乙卯甲申乙卯壬午|木木木金木木水火
辛未庚寅乙巳己卯|金土金木木火土木
庚寅己卯癸未庚申|金木土木水土金金
戊申丙辰壬申壬寅|土金火土水金水木
壬戌庚戌庚午乙酉|水土金土金火木金
辛亥乙未甲子丁卯|金水木土木水火木
丙辰壬辰乙酉己卯|火土水土木金土木
庚戌丁亥丙戌戊戌|金土火水火土土土
丙子辛丑丁巳庚子|火水金土火火金水
丙辰丙申己卯己巳|火土火金土木土火
壬子壬子甲戌丁卯|水水水水木土火木
丙辰辛丑丙子乙未|火土金土火水木土
辛卯庚寅戊戌己未|金木金木土土土土
丙申辛卯甲申庚午|火金金木木金金火
乙巳戊子乙巳甲申|木火土水木火木金
甲辰丙子癸巳癸亥|木土火水水火水水
丙寅戊戌壬申庚戌|火木土土水金金土
己巳癸酉庚午己卯|土火水金金火土木
戊子己未己亥庚午|土水土土土水金火
癸未丁巳丙子己丑|水土火火火水土土
丙午甲午癸卯己未|火火木火水木土土
丁未癸卯辛酉甲午|火土水木金金木火
庚午丁亥己酉乙亥|金火火水土金木水
乙巳癸未戊申戊午|木火水土土金土火
癸丑乙丑戊寅辛酉|水土木土土木金金
丁未壬子戊辰己未|火土水水土土土土
丙午己亥壬子壬寅|火火土水水水水木
戊寅癸亥戊辰壬戌|土木水水土土水土
辛酉戊戌甲寅丙寅|金金土土木木火木
庚午戊子癸亥辛酉|金火土水水水金金
己卯丁卯己酉乙丑|土木火木土金木土
戊辰辛酉戊申辛酉|土土金金土金金金
辛巳庚子丙申乙未|金火金水火金木土
丙戌丁酉丙申甲午|火土火金火金木火
丁卯己酉辛酉壬辰|火木土金金金水土
庚寅己卯庚午甲申|金木土木金火木金
丁巳己酉丙申丙申|火火土金火金火金
戊辰庚申壬戌壬寅|土土金金水土水木
丁巳丁未癸亥乙卯|火火火土水水木木
壬辰壬寅癸巳甲寅|水土水木水火木木
甲申戊辰丁丑庚戌|木金土土火土金土
戊申丁巳己未壬申|土金火火土土水金
壬申丙午甲子辛未|水金火火木水金土
辛未甲午乙丑壬午|金土木火木土水火
丁丑丁未己未甲子|火土火土土土木水
丙辰戊戌丙寅丙申|火土土土火木火金
乙未壬午己未丙寅|木土水火土土火木
丙辰壬辰丙戌戊戌|火土水土火土土土
己亥戊辰丙寅壬辰|土水土土火木水土
壬寅丁未丙寅己丑|水木火土火木土土
甲辰癸酉辛丑辛卯|木土水金金土金木
丁酉乙巳癸亥戊午|火金木火水水土火
戊子庚申戊辰丁巳|土水金金土土火火
壬子丙午壬寅庚戌|水水火火水木金土
癸卯甲寅丁酉甲辰|水木木木火金木土
辛丑丁酉甲寅甲戌|金土火金木木木土
乙巳壬午庚申丙戌|木火水火金金火土
己未丙子甲戌己巳|土土火水木土土火
壬午壬子己亥乙丑|水火水水土水木土
丙午己亥丙寅戊戌|火火土水火木土土
辛未戊戌戊寅甲寅|金土土土土木木木
戊寅戊午己卯丙寅|土木土火土木火木
辛卯丙申甲子乙丑|金木火金木水木土
丁未己酉戊戌乙卯|火土土金土土木木
庚午己卯乙未丁丑|金火土木木土火土
庚寅乙酉辛巳戊戌|金木木金金火土土
丙子甲午甲午辛未|火水木火木火金土
戊戌辛酉丙申庚寅|土土金金火金金木
丁未乙巳丙子乙未|火土木火火水木土
己丑丙寅己丑乙亥|土土火木土土木水
戊午癸亥庚辰己卯|土火水水金土土木
甲戌丁卯庚寅丙子|木土火木金木火水
甲辰丙子己亥辛未|木土火水土水金土
庚戌壬午甲寅己巳|金土水火木木土火
辛亥丙申乙亥丙戌|金水火金木水火土
戊午丁巳丁未戊申|土火火火火土土金
己丑庚午乙酉丁亥|土土金火木金火水
戊午癸亥戊申甲寅|土火水水土金木木
癸卯癸亥丙子癸巳|水木水水火水水火
甲辰庚午乙丑戊寅|木土金火木土土木
癸卯丙辰己亥甲子|水木火土土水木水
己未壬申己卯乙丑|土土水金土木木土
丙戌戊戌乙亥甲申|火土土土木水木金
丁巳丙午戊申癸丑|火火火火土金水土
戊午庚申庚辰庚辰|土火金金金土金土
戊子己未丁丑丁未|土水土土火土火土
己卯甲戌甲辰甲子|土木木土木土木水
壬戌戊申戊寅庚申|水土土金土木金金
戊辰甲子丁未丙午|土土木水火土火火
戊戌甲寅辛巳己亥|土土木木金火土水
庚辰庚辰丙戌辛卯|金土金土火土金木
辛丑癸巳乙亥甲申|金土水火木水木金
丁巳癸丑己未壬申|火火水土土土水金
丁亥丁未己酉辛未|火水火土土金金土
丙戌乙未丁未戊申|火土木土火土土金
戊戌丁巳丁亥壬寅|土土火火火水水木
壬戌癸卯己丑乙丑|水土水木土土木土
庚戌辛巳戊寅庚申|金土金火土木金金
丙子丁酉甲寅甲戌|火水火金木木木土
癸未甲寅辛丑丁酉|水土木木金土火金
丁丑癸卯丙申己亥|火土水木火金土水
丁卯丙午丁未壬寅|火木火火火土水木
丙午己亥乙酉丙子|火火土水木金火水
癸卯丙辰壬寅辛丑|水木火土水木金土
壬寅丁未庚戌丁亥|水木火土金土火水
丙子辛丑壬寅壬寅|火水金土水木水木
乙酉甲申丁巳辛亥|木金木金火火金水
辛卯庚子乙卯丙子|金木金水木木火水
甲子甲戌丙子庚寅|木水木土火水金木
庚子甲申癸未丙辰|金水木金水土火土
丙子壬辰丁卯庚子|火水水土火木金水
乙卯己卯己未丁卯|木木土木土土火木
丙子丁酉己亥丙寅|火水火金土水火木
己卯庚午壬午癸卯|土木金火水火水木
辛酉丁酉戊申丙辰|金金火金土金火土
辛丑癸巳乙未丙戌|金土水火木土火土
庚申庚辰丁酉己酉|金金金土火金土金
壬子庚戌戊子癸丑|水水金土土水水土
戊辰己未壬午庚戌|土土土土水火金土
丁亥丁未乙巳丙子|火水火土木火火水
壬子丁未戊子壬戌|水水火土土水水土
丁巳戊申丙子甲午|火火土金火水木火
己酉戊辰丙子庚寅|土金土土火水金木
己未甲戌壬子乙巳|土土木土水水木火
己酉辛未戊子乙卯|土金金土土水木木
辛卯庚子己酉戊辰|金木金水土金土土
丙戌庚寅甲戌甲子|火土金木木土木水
辛酉庚子乙亥丁丑|金金金水木水火土
癸酉乙卯癸未己未|水金木木水土土土
丙申辛丑壬寅辛亥|火金金土水木金水
丁亥壬寅己卯甲子|火水水木土木木水
甲辰戊辰癸巳壬子|木土土土水火水水
丙午己亥辛酉乙未|火火土水金金木土
己酉丁卯戊戌丁巳|土金火木土土火火
戊辰己未戊申丙辰|土土土土土金火土
己酉庚午甲子癸酉|土金金火木水水金
辛酉庚寅戊申癸丑|金金金木土金水土
辛亥辛丑戊申辛酉|金水金土土金金金
戊辰庚申庚申戊寅|土土金金金金土木
甲辰乙亥庚子壬午|木土木水金水水火
乙卯乙酉壬戌壬寅|木木木金水土水木
甲子戊辰庚辰乙酉|木水土土金土木金
己未己巳壬寅辛亥|土土土火水木金水
丙申丁酉壬戌甲辰|火金火金水土木土
辛巳戊戌乙未壬午|金火土土木土水火
甲午戊辰乙未丙戌|木火土土木土火土
癸巳己未庚寅丙戌|水火土土金木火土
戊辰壬戌壬子戊申|土土水土水水土金
己酉丙寅戊戌甲寅|土金火木土土木木
戊午癸亥丁丑庚子|土火水水火土金水
庚寅庚辰丁未戊申|金木金土火土土金
庚戌己卯丙寅戊戌|金土土木火木土土
壬寅乙巳丁丑庚子|水木木火火土金水
庚寅己卯庚辰庚辰|金木土木金土金土
甲寅壬申乙亥丁丑|木木水金木水火土
乙巳癸未庚午乙酉|木火水土金火木金
壬申庚戌庚辰己卯|水金金土金土土木
癸丑己未壬寅辛亥|水土土土水木金水
乙未戊子己未己巳|木土土水土土土火
丁巳己酉辛巳庚寅|火火土金金火金木
乙巳庚辰己丑戊辰|木火金土土土土土
乙巳庚辰戊寅癸亥|木火金土土木水水
己巳己巳丙辰己亥|土火土火火土土水
戊戌丁巳丙申辛卯|土土火火火金金木
戊戌乙丑丙申丁酉|土土木土火金火金
己卯丙子丁酉丁未|土木火水火金火土
丙辰辛卯癸酉庚申|火土金木水金金金
丁卯甲辰甲申乙丑|火木木土木金木土
己卯丁丑壬辰庚子|土木火土水土金水
丁卯壬子己酉乙亥|火木水水土金木水
戊戌己未辛丑己丑|土土土土金土土土
壬辰己酉丁丑甲辰|水土土金火土木土
庚辰乙酉甲寅辛未|金土木金木木金土
癸酉乙丑丙午己丑|水金木土火火土土
丙戌甲午庚申癸未|火土木火金金水土
辛亥丁酉戊戌癸丑|金水火金土土水土
庚寅己卯戊午壬戌|金木土木土火水土
甲寅癸酉癸丑丙辰|木木水金水土火土
壬戌乙巳癸亥癸亥|水土木火水水水水
甲申甲戌辛亥甲午|木金木土金水木火
壬子丁未丁巳辛丑|水水火土火火金土
辛酉乙未壬戌辛丑|金金木土水土金土
辛亥甲午壬申己酉|金水木火水金土金
甲午丁卯辛巳庚寅|木火火木金火金木
甲子己巳戊戌甲寅|木水土火土土木木
辛卯辛丑壬辰丁未|金木金土水土火土
壬申己酉己丑辛未|水金土金土土金土
甲申戊辰庚辰丙戌|木金土土金土火土
甲子丁卯辛亥辛卯|木水火木金水金木
甲申壬申乙丑丁亥|木金水金木土火水
辛未癸巳戊子乙卯|金土水火土水木木
丁巳壬子丁巳辛丑|火火水水火火金土
戊午丙辰辛未戊戌|土火火土金土土土
壬午庚戌甲辰辛未|水火金土木土金土
癸未丁巳庚午戊寅|水土火火金火土木
壬辰丙午甲辰癸酉|水土火火木土水金
壬午己酉己卯丙寅|水火土金土木火木
庚午庚辰丁卯辛丑|金火金土火木金土
庚子己卯丁未乙巳|金水土木火土木火
丁酉戊申壬午丙午|火金土金水火火火
甲戌辛未壬子辛亥|木土金土水水金水
癸未癸亥丙午戊子|水土水水火火土水
辛亥癸巳乙卯庚辰|金水水火木木金土
壬戌辛亥丙申丁酉|水土金水火金火金
乙巳戊子壬寅壬寅|木火土水水木水木
癸卯丁巳壬午辛丑|水木火火水火金土
乙丑庚辰乙酉壬午|木土金土木金水火
癸丑甲子丙午己丑|水土木水火火土土
壬午壬寅甲寅丁卯|水火水木木木火木
己未丁丑丙申癸巳|土土火土火金水火
丙辰甲午癸卯乙卯|火土木火水木木木
壬申壬寅甲戌己巳|水金水木木土土火
庚申丙戌乙亥癸未|金金火土木水水土
丙寅癸巳甲子庚午|火木水火木水金火
丙辰辛丑己巳乙丑|火土金土土火木土
壬辰庚戌丙辰壬辰|水土金土火土水土
辛酉辛卯丙午甲午|金金金木火火木火
己未乙亥丁亥丙午|土土木水火水火火
丙午癸巳己巳甲戌|火火水火土火木土
癸亥乙卯戊辰戊午|水水木木土土土火
戊辰己未壬戌甲辰|土土土土水土木土
戊寅庚申丁巳甲辰|土木金金火火木土
癸卯壬戌乙酉庚辰|水木水土木金金土
戊辰壬戌癸未癸丑|土土水土水土水土
乙酉丙戌戊子壬子|木金火土土水水水
戊戌辛酉壬戌丙午|土土金金水土火火
庚申己卯丁卯庚子|金金土木火木金水
戊申甲寅甲寅丁卯|土金木木木木火木
丙午丙申辛丑丁酉|火火火金金土火金
丁巳丙午甲寅乙亥|火火火火木木木水
癸酉丁巳己卯丁卯|水金火火土木火木
庚子庚辰戊寅甲寅|金水金土土木木木
甲寅癸酉癸亥丙辰|木木水金水水火土
庚戌戊寅乙巳己卯|金土土木木火土木
甲寅甲戌戊戌丙辰|木木木土土土火土
庚申庚辰丁卯辛丑|金金金土火木金土
甲午庚午乙未乙酉|木火金火木土木金
甲申乙亥乙酉乙酉|木金木水木金木金
丙戌乙未壬辰甲辰|火土木土水土木土
乙未戊子丙戌甲午|木土土水火土木火
丙辰乙未己卯丙寅|火土木土土木火木
甲寅辛未丁丑壬寅|木木金土火土水木
壬戌乙巳癸巳辛酉|水土木火水火金金
辛未癸巳丁卯丁未|金土水火火木火土
庚子癸未辛卯甲午|金水水土金木木火
癸卯壬戌乙酉丙戌|水木水土木金火土
丙寅丙申壬辰庚子|火木火金水土金水
壬午壬寅丁酉庚戌|水火水木火金金土
壬戌己酉丙戌辛卯|水土土金火土金木
乙丑丙戌乙卯辛巳|木土火土木木金火
甲午壬申乙丑丙戌|木火水金木土火土
己丑庚午丙子戊子|土土金火火水土水
戊辰己未乙酉戊寅|土土土土木金土木
丙戌甲午戊辰癸亥|火土木火土土水水
丙辰丁酉丁酉壬寅|火土火金火金水木
甲子己巳壬子丁未|木水土火水水火土
庚辰癸未庚申丙子|金土水土金金火水
庚申癸未庚戌己卯|金金水土金土土木
乙酉壬午辛亥庚寅|木金水火金水金木
癸未壬戌戊午丁巳|水土水土土火火火
乙卯丁亥辛卯戊子|木木火水金木土水
己丑己巳壬戌乙巳|土土土火水土木火
丙辰癸巳丁亥乙巳|火土水火火水木火
丙午辛丑丁丑戊申|火火金土火土土金
戊申戊午庚子丙子|土金土火金水火水
乙巳戊寅辛酉乙未|木火土木金金木土
辛丑辛卯甲申癸酉|金土金木木金水金
戊子庚申辛未癸巳|土水金金金土水火
壬子己酉甲申丙寅|水水土金木金火木
